Number,Catalyst,Doping wt%,Support(Promoter),Initial composition(H2/N2),GHSV(mL g-1 h-1),Pressure(MPa),Pressure(atm), Temperature(c) , Temperature(K) , Reaction rate(mmol g-1 h-1) , Reaction rate(kmol kg-1 s-1) , Reaction rate(mol g-1 h-1) ,N2 in(mol g-1 h-1),N2 conversion,N2 out(mol g-1 h-1)
,Ru,2.5,CeO2-11,3,60000,1,9.869,300.008,573.158,0.2343,6.51E-08,0.0002343 ,0.6688443 ,0.0001752 ,0.6687272 
,Ru,2.5,CeO2-11,3,60000,1,9.869,326.435,599.585,0.5421,1.51E-07,0.0005421 ,0.6688443 ,0.0004053 ,0.6685733 
,Ru,2.5,CeO2-11,3,60000,1,9.869,350.567,623.717,0.8962,2.49E-07,0.0008962 ,0.6688443 ,0.0006700 ,0.6683962 
,Ru,2.5,CeO2-11,3,60000,1,9.869,375.624,648.774,1.3905,3.86E-07,0.0013905 ,0.6688443 ,0.0010395 ,0.6681491 
,Ru,2.5,CeO2-11,3,60000,1,9.869,390.152,663.302,2.7936,0.000000776,0.0027936 ,0.6688443 ,0.0020884 ,0.6674475 
,Ru,2.5,CeO2-11,3,60000,1,9.869,400.299,673.449,3.7757,1.05E-06,0.0037757 ,0.6688443 ,0.0028226 ,0.6669565 
,Ru,2.5,CeO2-11,3,60000,1,9.869,413.291,686.441,6.9059,1.92E-06,0.0069059 ,0.6688443 ,0.0051626 ,0.6653914 
,Ru,2.5,CeO2-11,3,60000,1,9.869,425.353,698.503,9.7792,2.72E-06,0.0097792 ,0.6688443 ,0.0073105 ,0.6639547 
20,Ru,2.48,CeO2-CP,3,60000,1,9.869,249.931,523.081,0.1094,3.04E-08,0.0001094 ,0.6688443 ,0.0000818 ,0.6687896 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,280.94,554.09,0.1378,3.83E-08,0.0001378 ,0.6688443 ,0.0001030 ,0.6687754 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,300.006,573.156,0.1643,4.56E-08,0.0001643 ,0.6688443 ,0.0001228 ,0.6687622 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,327.354,600.504,0.5423,1.51E-07,0.0005423 ,0.6688443 ,0.0004054 ,0.6685732 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,349.645,622.795,0.8027,0.000000223,0.0008027 ,0.6688443 ,0.0006001 ,0.6684430 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,374.936,648.086,1.4138,3.93E-07,0.0014138 ,0.6688443 ,0.0010569 ,0.6681374 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,388.778,661.928,2.8867,8.02E-07,0.0028867 ,0.6688443 ,0.0021580 ,0.6674010 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,400.087,673.237,4.1958,1.17E-06,0.0041958 ,0.6688443 ,0.0031366 ,0.6667464 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,414.413,687.563,6.2758,1.74E-06,0.0062758 ,0.6688443 ,0.0046915 ,0.6657064 
,Ru,2.48,CeO2-CP,3,60000,1,9.869,425.506,698.656,7.9117,2.20E-06,0.0079117 ,0.6688443 ,0.0059145 ,0.6648885 
21,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,429.118,702.268,3.1387,8.72E-07,0.0031387 ,0.4013066 ,0.0039106 ,0.3997373 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,413.722,686.872,2.609,7.25E-07,0.0026090 ,0.4013066 ,0.0032506 ,0.4000021 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,402.293,675.443,2.24,6.22E-07,0.0022400 ,0.4013066 ,0.0027909 ,0.4001866 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,382.462,655.612,1.682,4.67E-07,0.0016820 ,0.4013066 ,0.0020957 ,0.4004656 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,363.087,636.237,1.2227,3.40E-07,0.0012227 ,0.4013066 ,0.0015234 ,0.4006953 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,342.681,615.831,0.9055,2.52E-07,0.0009055 ,0.4013066 ,0.0011282 ,0.4008539 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,332.044,605.194,0.7457,2.07E-07,0.0007457 ,0.4013066 ,0.0009291 ,0.4009338 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,321.959,595.109,0.6373,0.000000177,0.0006373 ,0.4013066 ,0.0007940 ,0.4009880 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,309.92,583.07,0.5012,1.39E-07,0.0005012 ,0.4013066 ,0.0006245 ,0.4010560 
,Ru,7.8,Y5Si3,3,36000,0.1,0.9869,296.894,570.044,0.3923,0.000000109,0.0003923 ,0.4013066 ,0.0004888 ,0.4011105 
22,Ru,8.3,LaScSi,3,60000,0.1,0.9869,260,533.15,0.7,1.94E-07,0.0007000 ,0.6688443 ,0.0005233 ,0.6684943 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,280,553.15,1.2,3.33E-07,0.0012000 ,0.6688443 ,0.0008971 ,0.6682443 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,300,573.15,1.8,0.0000005,0.0018000 ,0.6688443 ,0.0013456 ,0.6679443 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,310,583.15,2.2,6.11E-07,0.0022000 ,0.6688443 ,0.0016446 ,0.6677443 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,320,593.15,2.6,7.22E-07,0.0026000 ,0.6688443 ,0.0019437 ,0.6675443 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,340,613.15,3.5,9.72E-07,0.0035000 ,0.6688443 ,0.0026165 ,0.6670943 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,360,633.15,4.7,1.31E-06,0.0047000 ,0.6688443 ,0.0035135 ,0.6664943 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,370,643.15,4.9,1.36E-06,0.0049000 ,0.6688443 ,0.0036630 ,0.6663943 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,380,653.15,5.2,1.44E-06,0.0052000 ,0.6688443 ,0.0038873 ,0.6662443 
,Ru,8.3,LaScSi,3,60000,0.1,0.9869,400,673.15,5.3,1.47E-06,0.0053000 ,0.6688443 ,0.0039621 ,0.6661943 
23,Ru,1.25,BaCeO3-a,3,24000,3,29.607,375,648.15,7.9929,2.22E-06,0.0079929 ,0.2675377 ,0.0149379 ,0.2635413 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,384.853,658.003,9.5071,2.64E-06,0.0095071 ,0.2675377 ,0.0177678 ,0.2627842 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,394.324,667.474,11.0221,3.06E-06,0.0110221 ,0.2675377 ,0.0205992 ,0.2620267 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,399.777,672.927,11.8317,3.29E-06,0.0118317 ,0.2675377 ,0.0221122 ,0.2616219 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,409.056,682.206,14.0957,3.92E-06,0.0140957 ,0.2675377 ,0.0263434 ,0.2604899 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,417.379,690.529,16.0406,4.46E-06,0.0160406 ,0.2675377 ,0.0299782 ,0.2595174 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,424.936,698.086,18.0584,5.02E-06,0.0180584 ,0.2675377 ,0.0337493 ,0.2585085 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,433.546,706.696,19.8958,5.53E-06,0.0198958 ,0.2675377 ,0.0371832 ,0.2575898 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,441.677,714.827,22.0194,6.12E-06,0.0220194 ,0.2675377 ,0.0411520 ,0.2565280 
,Ru,1.25,BaCeO3-a,3,24000,3,29.607,450,723.15,23.893,6.64E-06,0.0238930 ,0.2675377 ,0.0446535 ,0.2555912 
24,Ru,1.25,BaCeO3-b,3,24000,3,29.607,375,648.15,4.4278,1.23E-06,0.0044278 ,0.2675377 ,0.0082751 ,0.2653238 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,383.227,656.377,5.1965,1.44E-06,0.0051965 ,0.2675377 ,0.0097117 ,0.2649395 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,392.602,665.752,6.0699,1.69E-06,0.0060699 ,0.2675377 ,0.0113440 ,0.2645028 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,400.159,673.309,6.9112,1.92E-06,0.0069112 ,0.2675377 ,0.0129163 ,0.2640821 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,407.43,680.58,8.3234,2.31E-06,0.0083234 ,0.2675377 ,0.0155556 ,0.2633760 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,417.57,690.72,10.4075,0.000002891,0.0104075 ,0.2675377 ,0.0194505 ,0.2623340 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,425.223,698.373,11.8902,3.30E-06,0.0118902 ,0.2675377 ,0.0222215 ,0.2615926 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,432.876,706.026,13.8008,3.83E-06,0.0138008 ,0.2675377 ,0.0257923 ,0.2606373 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,441.486,714.636,15.8522,4.40E-06,0.0158522 ,0.2675377 ,0.0296261 ,0.2596116 
,Ru,1.25,BaCeO3-b,3,24000,3,29.607,449.809,722.959,17.8685,4.96E-06,0.0178685 ,0.2675377 ,0.0333944 ,0.2586035 
25,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,375.632,648.782,0.006,1.70E-09,0.0000060 ,0.2006533 ,0.0000150 ,0.2006503 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,363.179,636.329,0.0049,1.40E-09,0.0000049 ,0.2006533 ,0.0000122 ,0.2006509 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,350.122,623.272,0.004,1.10E-09,0.0000040 ,0.2006533 ,0.0000100 ,0.2006513 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,337.457,610.607,0.0033,9.00E-10,0.0000033 ,0.2006533 ,0.0000082 ,0.2006517 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,325.045,598.195,0.0026,7.00E-10,0.0000026 ,0.2006533 ,0.0000065 ,0.2006520 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,312.416,585.566,0.002,6.00E-10,0.0000020 ,0.2006533 ,0.0000050 ,0.2006523 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,299.97,573.12,0.0016,4.00E-10,0.0000016 ,0.2006533 ,0.0000040 ,0.2006525 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,290.34,563.49,0.0013,4.00E-10,0.0000013 ,0.2006533 ,0.0000032 ,0.2006527 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,281.884,555.034,0.0011,3.00E-10,0.0000011 ,0.2006533 ,0.0000027 ,0.2006528 
,Ba-Ru,0.23,Sas-S-1,3,18000,0.1,0.9869,275.338,548.488,0.0009,3.00E-10,0.0000009 ,0.2006533 ,0.0000022 ,0.2006529 
26,Ru,5,CaCN2,3,36000,0.9,8.8821,219.274,492.424,0.3565,0.000000099,0.0003565 ,0.4013066 ,0.0004442 ,0.4011284 
,Ru,5,CaCN2,3,36000,0.9,8.8821,239.395,512.545,0.7427,2.06E-07,0.0007427 ,0.4013066 ,0.0009254 ,0.4009353 
,Ru,5,CaCN2,3,36000,0.9,8.8821,260.363,533.513,1.3801,3.83E-07,0.0013801 ,0.4013066 ,0.0017195 ,0.4006166 
,Ru,5,CaCN2,3,36000,0.9,8.8821,270.318,543.468,1.7799,4.94E-07,0.0017799 ,0.4013066 ,0.0022176 ,0.4004167 
,Ru,5,CaCN2,3,36000,0.9,8.8821,280.908,554.058,2.3128,6.42E-07,0.0023128 ,0.4013066 ,0.0028816 ,0.4001502 
,Ru,5,CaCN2,3,36000,0.9,8.8821,291.074,564.224,3.0377,8.44E-07,0.0030377 ,0.4013066 ,0.0037848 ,0.3997878 
,Ru,5,CaCN2,3,36000,0.9,8.8821,300.605,573.755,3.792,1.05E-06,0.0037920 ,0.4013066 ,0.0047246 ,0.3994106 
,Ru,5,CaCN2,3,36000,0.9,8.8821,310.772,583.922,4.8123,1.34E-06,0.0048123 ,0.4013066 ,0.0059958 ,0.3989005 
,Ru,5,CaCN2,3,36000,0.9,8.8821,320.303,593.453,5.9507,0.000001653,0.0059507 ,0.4013066 ,0.0074142 ,0.3983313 
,Ru,5,CaCN2,3,36000,0.9,8.8821,340,613.15,9.0399,2.51E-06,0.0090399 ,0.4013066 ,0.0112631 ,0.3967867 
27,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,220.121,493.271,0.1055,2.93E-08,0.0001055 ,0.4013066 ,0.0001314 ,0.4012539 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,239.607,512.757,0.2996,8.32E-08,0.0002996 ,0.4013066 ,0.0003733 ,0.4011568 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,259.728,532.878,0.5381,1.50E-07,0.0005381 ,0.4013066 ,0.0006704 ,0.4010376 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,280.061,553.211,0.9833,2.73E-07,0.0009833 ,0.4013066 ,0.0012251 ,0.4008150 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,290.227,563.377,1.3389,3.72E-07,0.0013389 ,0.4013066 ,0.0016682 ,0.4006372 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,300.605,573.755,1.7241,4.79E-07,0.0017241 ,0.4013066 ,0.0021481 ,0.4004446 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,309.077,582.227,2.2567,6.27E-07,0.0022567 ,0.4013066 ,0.0028117 ,0.4001783 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,319.879,593.029,2.9521,0.00000082,0.0029521 ,0.4013066 ,0.0036781 ,0.3998306 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,328.563,601.713,3.7063,1.03E-06,0.0037063 ,0.4013066 ,0.0046178 ,0.3994535 
,Ru,5,Ca2N-e-,3,36000,0.9,8.8821,340.424,613.574,4.6677,1.30E-06,0.0046677 ,0.4013066 ,0.0058156 ,0.3989728 
28,Ru-Cs,5,MgO,3,36000,0.9,8.8821,239.818,512.968,0.0337,9.40E-09,0.0000337 ,0.4013066 ,0.0000420 ,0.4012898 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,259.728,532.878,0.0949,2.64E-08,0.0000949 ,0.4013066 ,0.0001182 ,0.4012592 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,270.106,543.256,0.1846,5.13E-08,0.0001846 ,0.4013066 ,0.0002300 ,0.4012143 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,279.213,552.363,0.3038,8.44E-08,0.0003038 ,0.4013066 ,0.0003785 ,0.4011547 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,299.97,573.12,0.498,1.38E-07,0.0004980 ,0.4013066 ,0.0006205 ,0.4010576 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,310.348,583.498,0.8241,2.29E-07,0.0008241 ,0.4013066 ,0.0010268 ,0.4008946 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,320.303,593.453,1.4603,4.06E-07,0.0014603 ,0.4013066 ,0.0018194 ,0.4005765 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,326.021,599.171,2.3767,6.60E-07,0.0023767 ,0.4013066 ,0.0029612 ,0.4001183 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,332.375,605.525,3.3965,9.44E-07,0.0033965 ,0.4013066 ,0.0042318 ,0.3996084 
,Ru-Cs,5,MgO,3,36000,0.9,8.8821,340.212,613.362,4.9188,1.37E-06,0.0049188 ,0.4013066 ,0.0061285 ,0.3988472 
29,Ru,5,Sm2O3,3,24000,1,9.869,249.683,522.833,0.13,3.61E-08,0.0001300 ,0.2675377 ,0.0002430 ,0.2674727 
,Ru,5,Sm2O3,3,24000,1,9.869,274.363,547.513,0.152,4.22E-08,0.0001520 ,0.2675377 ,0.0002841 ,0.2674617 
,Ru,5,Sm2O3,3,24000,1,9.869,299.079,572.229,1.674,0.000000465,0.0016740 ,0.2675377 ,0.0031285 ,0.2667007 
,Ru,5,Sm2O3,3,24000,1,9.869,323.817,596.967,4.11,1.14E-06,0.0041100 ,0.2675377 ,0.0076812 ,0.2654827 
,Ru,5,Sm2O3,3,24000,1,9.869,337.011,610.161,6.34,1.76E-06,0.0063400 ,0.2675377 ,0.0118488 ,0.2643677 
,Ru,5,Sm2O3,3,24000,1,9.869,348.288,621.438,8.764,2.43E-06,0.0087640 ,0.2675377 ,0.0163790 ,0.2631557 
,Ru,5,Sm2O3,3,24000,1,9.869,355.707,628.857,10.728,0.00000298,0.0107280 ,0.2675377 ,0.0200495 ,0.2621737 
,Ru,5,Sm2O3,3,24000,1,9.869,361.84,634.99,12.561,3.49E-06,0.0125610 ,0.2675377 ,0.0234752 ,0.2612572 
,Ru,5,Sm2O3,3,24000,1,9.869,369.891,643.041,14.134,3.93E-06,0.0141340 ,0.2675377 ,0.0264150 ,0.2604707 
,Ru,5,Sm2O3,3,24000,1,9.869,374.719,647.869,14.986,4.16E-06,0.0149860 ,0.2675377 ,0.0280073 ,0.2600447 
30,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,259.506,532.656,0.1,2.78E-08,0.0001000 ,0.4013066 ,0.0001246 ,0.4012566 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,279.259,552.409,0.4197,1.17E-07,0.0004197 ,0.4013066 ,0.0005229 ,0.4010968 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,299.753,572.903,0.7159,1.99E-07,0.0007159 ,0.4013066 ,0.0008920 ,0.4009487 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,310.123,583.273,1.1743,3.26E-07,0.0011743 ,0.4013066 ,0.0014631 ,0.4007195 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,319.259,592.409,1.7037,4.73E-07,0.0017037 ,0.4013066 ,0.0021227 ,0.4004548 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,330.617,603.767,2.4012,0.000000667,0.0024012 ,0.4013066 ,0.0029917 ,0.4001060 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,340.741,613.891,3.0982,8.61E-07,0.0030982 ,0.4013066 ,0.0038601 ,0.3997575 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,349.383,622.533,3.9615,1.10E-06,0.0039615 ,0.4013066 ,0.0049358 ,0.3993259 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,359.506,632.656,5.1358,1.43E-06,0.0051358 ,0.4013066 ,0.0063988 ,0.3987387 
,Ru,10,Ca(NH2)2,3,36000,0.1,0.9869,378.519,651.669,5.8847,1.63E-06,0.0058847 ,0.4013066 ,0.0073319 ,0.3983643 
31,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,239.012,512.162,0.0186,5.20E-09,0.0000186 ,0.4013066 ,0.0000232 ,0.4012973 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,259.259,532.409,0.1476,0.000000041,0.0001476 ,0.4013066 ,0.0001839 ,0.4012328 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,279.753,552.903,0.2051,0.000000057,0.0002051 ,0.4013066 ,0.0002555 ,0.4012041 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,299.259,572.409,0.4054,1.13E-07,0.0004054 ,0.4013066 ,0.0005051 ,0.4011039 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,318.765,591.915,0.892,2.48E-07,0.0008920 ,0.4013066 ,0.0011114 ,0.4008606 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,339.259,612.409,3.3839,0.00000094,0.0033839 ,0.4013066 ,0.0042161 ,0.3996147 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,359.753,632.903,6.2815,1.74E-06,0.0062815 ,0.4013066 ,0.0078263 ,0.3981659 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,370.37,643.52,9.0551,2.52E-06,0.0090551 ,0.4013066 ,0.0112820 ,0.3967791 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,379.259,652.409,11.7562,3.27E-06,0.0117562 ,0.4013066 ,0.0146474 ,0.3954285 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.9,8.8821,399.012,672.162,16.348,4.54E-06,0.0163480 ,0.4013066 ,0.0203685 ,0.3931326 
32,Ru,3,Ti-Ce-E,3,36000,1,9.869,330.169,603.319,1.3618,3.78E-07,0.0013618 ,0.4013066 ,0.0016967 ,0.4006257 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,340.534,613.684,2.0087,0.000000558,0.0020087 ,0.4013066 ,0.0025027 ,0.4003023 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,350.082,623.232,2.5968,7.21E-07,0.0025968 ,0.4013066 ,0.0032354 ,0.4000082 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,360.367,633.517,3.8951,0.000001082,0.0038951 ,0.4013066 ,0.0048530 ,0.3993591 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,369.837,642.987,5.1345,1.43E-06,0.0051345 ,0.4013066 ,0.0063972 ,0.3987394 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,377.349,650.499,6.5227,1.81E-06,0.0065227 ,0.4013066 ,0.0081268 ,0.3980453 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,385.187,658.337,7.8517,0.000002181,0.0078517 ,0.4013066 ,0.0097827 ,0.3973808 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,391.23,664.38,9.0333,2.51E-06,0.0090333 ,0.4013066 ,0.0112549 ,0.3967900 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,396.129,669.279,10.0082,2.78E-06,0.0100082 ,0.4013066 ,0.0124695 ,0.3963025 
,Ru,3,Ti-Ce-E,3,36000,1,9.869,400.131,673.281,10.8059,3.00E-06,0.0108059 ,0.4013066 ,0.0134634 ,0.3959037 
33,Ru,3,Ti-Ce-S,3,36000,1,9.869,330.096,603.246,3.0789,8.55E-07,0.0030789 ,0.4013066 ,0.0038361 ,0.3997672 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,337.442,610.592,3.8159,0.00000106,0.0038159 ,0.4013066 ,0.0047543 ,0.3993987 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,349.848,622.998,5.0837,1.41E-06,0.0050837 ,0.4013066 ,0.0063339 ,0.3987648 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,356.869,630.019,6.0281,1.67E-06,0.0060281 ,0.4013066 ,0.0075106 ,0.3982926 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,363.564,636.714,7.1503,1.99E-06,0.0071503 ,0.4013066 ,0.0089088 ,0.3977315 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,370.095,643.245,8.1245,2.26E-06,0.0081245 ,0.4013066 ,0.0101226 ,0.3972444 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,376.546,649.696,9.306,0.000002585,0.0093060 ,0.4013066 ,0.0115946 ,0.3966536 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,384.957,658.107,10.9899,3.05E-06,0.0109899 ,0.4013066 ,0.0136926 ,0.3958117 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,392.388,665.538,12.6447,3.51E-06,0.0126447 ,0.4013066 ,0.0157544 ,0.3949843 
,Ru,3,Ti-Ce-S,3,36000,1,9.869,400.148,673.298,14.5657,0.000004046,0.0145657 ,0.4013066 ,0.0181478 ,0.3940238 
34,Ru,5,Pr2O3,3,18000,0.9,8.8821,309.585,582.735,0.7113,1.98E-07,0.0007113 ,0.2006533 ,0.0017725 ,0.2002977 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,318.111,591.261,1.5376,4.27E-07,0.0015376 ,0.2006533 ,0.0038315 ,0.1998845 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,329.409,602.559,2.7974,7.77E-07,0.0027974 ,0.2006533 ,0.0069707 ,0.1992546 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,337.633,610.783,3.7528,1.04E-06,0.0037528 ,0.2006533 ,0.0093515 ,0.1987769 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,350.016,623.166,5.3585,1.49E-06,0.0053585 ,0.2006533 ,0.0133526 ,0.1979741 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,358.02,631.17,7.1979,2.00E-06,0.0071979 ,0.2006533 ,0.0179362 ,0.1970544 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,369.778,642.928,9.9243,2.76E-06,0.0099243 ,0.2006533 ,0.0247300 ,0.1956912 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,374.716,647.866,11.179,3.11E-06,0.0111790 ,0.2006533 ,0.0278565 ,0.1950638 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,381.227,654.377,13.125,3.65E-06,0.0131250 ,0.2006533 ,0.0327057 ,0.1940908 
,Ru,5,Pr2O3,3,18000,0.9,8.8821,389.326,662.476,15.1369,4.20E-06,0.0151369 ,0.2006533 ,0.0377190 ,0.1930849 
35,Ru,4,r-CeO2,3,18000,1,9.869,419.211,692.361,6.0906,1.69E-06,0.0060906 ,0.2006533 ,0.0151769 ,0.1976080 
,Ru,4,r-CeO2,3,18000,1,9.869,409.426,682.576,4.791,1.33E-06,0.0047910 ,0.2006533 ,0.0119385 ,0.1982578 
,Ru,4,r-CeO2,3,18000,1,9.869,397.015,670.165,3.7361,1.04E-06,0.0037361 ,0.2006533 ,0.0093098 ,0.1987853 
,Ru,4,r-CeO2,3,18000,1,9.869,387.977,661.127,2.7119,7.53E-07,0.0027119 ,0.2006533 ,0.0067577 ,0.1992974 
,Ru,4,r-CeO2,3,18000,1,9.869,376.83,649.98,1.8663,5.18E-07,0.0018663 ,0.2006533 ,0.0046506 ,0.1997202 
,Ru,4,r-CeO2,3,18000,1,9.869,367.839,640.989,1.4549,4.04E-07,0.0014549 ,0.2006533 ,0.0036254 ,0.1999259 
,Ru,4,r-CeO2,3,18000,1,9.869,358.282,631.432,1.0563,2.93E-07,0.0010563 ,0.2006533 ,0.0026322 ,0.2001252 
,Ru,4,r-CeO2,3,18000,1,9.869,351.955,625.105,0.8306,2.31E-07,0.0008306 ,0.2006533 ,0.0020697 ,0.2002380 
,Ru,4,r-CeO2,3,18000,1,9.869,346.199,619.349,0.683,1.90E-07,0.0006830 ,0.2006533 ,0.0017019 ,0.2003118 
,Ru,4,r-CeO2,3,18000,1,9.869,340.441,613.591,0.5323,1.48E-07,0.0005323 ,0.2006533 ,0.0013264 ,0.2003872 
36,Ru,4,c-CeO2,3,18000,1,9.869,419.296,692.446,2.2009,6.11E-07,0.0022009 ,0.2006533 ,0.0054843 ,0.1995529 
,Ru,4,c-CeO2,3,18000,1,9.869,412.516,685.666,1.7777,4.94E-07,0.0017777 ,0.2006533 ,0.0044298 ,0.1997645 
,Ru,4,c-CeO2,3,18000,1,9.869,404.253,677.403,1.475,4.10E-07,0.0014750 ,0.2006533 ,0.0036755 ,0.1999158 
,Ru,4,c-CeO2,3,18000,1,9.869,398.023,671.173,1.2237,3.40E-07,0.0012237 ,0.2006533 ,0.0030493 ,0.2000415 
,Ru,4,c-CeO2,3,18000,1,9.869,388.449,661.599,0.8571,2.38E-07,0.0008571 ,0.2006533 ,0.0021358 ,0.2002248 
