A_f,Ea_f,C_ad2_A,C_ad2_B,C_ad3_A,C_ad3_B,C_ad4_A,C_ad4_B,C_ad5_A,C_ad5_B,C_ad6_A,C_ad6_B
10000000000.0,46123.1526,-10.0,-0.431007526,-9.87400418,-17585.6058,-10.0,-1.19344645,-10.0,-0.0251204464,12.6078322,0.0
10000000000.0,68059.8956,-1.98833212,-333.432581,-9.8740047,-17585.6058,-10.0,-1.19360587,-10.0,-0.0294611683,10.918354,-59.556959
10000000000.0,62797.7335,-10.0,-0.438937557,-9.87404372,-17585.6058,-10.0,-1.23479163,-10.0,-0.0731084366,11.763378,-214.94864
10000000000.0,66749.971,-10.0,-0.430653711,-9.87400426,-17585.6058,-10.0,-1.19348836,-10.0,-0.0251040475,11.5084804,-5.22205802
10000000000.0,47313.924,-10.0,-0.429534714,-9.87400457,-17585.6058,-10.0,-1.68910424,-10.0,-0.888673195,12.5497821,-56.2684824
10000000000.0,57898.6584,-9.16301129,-0.432628562,-9.87400445,-17585.6058,-10.0,-1.19435967,-9.99955454,-0.0251728939,11.4525899,-11.5494407
10000000000.0,54755.1241,-9.71575076,-10815.3924,-10.0,-17592.1289,-10.0,-3442.21749,-10.0,-151.504331,11.7813298,-246.222864
10000000000.0,51335.5191,-8.99927548,-0.382638849,-9.87400418,-17585.6058,-10.0,-1.1937447,-10.0,-0.0267265021,11.6098399,-3.95762229
10000000000.0,55183.2535,-10.0,0.0,-9.87415879,-17585.6058,-10.0,-0.94889428,-10.0,-0.010961275,11.2909803,0.0
10000000000.0,52647.1065,-8.9814674,-0.431164016,-9.87400422,-17585.6058,-10.0,-1.19363918,-10.0,-0.0250995584,11.5428589,-13.602968
10000000000.0,60939.9854,-2.9606426,0.0,-9.87400209,-17585.6058,-10.0,-1.16360258,-10.0,-0.183845115,10.7957649,0.0
10000000000.0,59513.1641,-4.57114142,-0.427726631,-9.87400409,-17585.6058,-9.58970446,-1.19335324,-10.0,-0.0251006054,10.9064853,-3.31127641
