Number,Catalyst,A_f (kmol s-1 kg-1),Ea_f (kJ/kmol),A_1 (kmol s-1 kg-1),Ea_1 (kJ/kmol),A_2 (kmol s-1 kg-1),Ea_2 (kJ/kmol),A_3 (kmol s-1 kg-1),Ea_3 (kJ/kmol),A_4 (kmol s-1 kg-1),Ea_4 (kJ/kmol),A_5 (kmol s-1 kg-1),Ea_5 (kJ/kmol),Reference,,Reference,
20,5.00 wt% Ru/MgO-IM,7.02.E+07,6.72.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.38.E+03,0.00.E+00,6 ,,,
21,3.00 wt% Ru/MgO-IM,6.27.E+07,7.67.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.48.E+03,0.00.E+00,6 ,,,
22,10.00 wt% Ru/Cr2O3,1.67.E+08,6.48.E+04,4.54.E-05,0.00.E+00,4.55.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.83.E-01,0.00.E+00,9.81.E+03,0.00.E+00,7 ,,,
23,5.00 wt% Ru/Cr2O3,4.09.E+08,7.05.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.49.E-02,0.00.E+00,1.06.E+04,0.00.E+00,7 ,,,
24,1.00 wt% Ru/Cr2O3,9.82.E+07,7.11.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,5.45.E+03,0.00.E+00,7 ,,,
25,3.00 wt% Ru/Ba-ZrO2,8.35.E+07,7.21.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.27.E+03,0.00.E+00,8 ,,,
26,3.00 wt% Ru-K /Ba-ZrO2,8.37.E+07,6.53.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.72.E+03,0.00.E+00,8 ,,,
27,3.00 wt% Ru-Cs/Ba-ZrO2,1.16.E+08,6.38.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.75.E-03,0.00.E+00,5.94.E+03,0.00.E+00,8 ,,,
28,2.00 wt% Ru/Ca(NH3)2,4.66.E+07,7.55.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.97.E+03,0.00.E+00,9 ,,,
29,2.00 wt% Ru-Cs/MgO,3.63.E+07,5.33.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.59.E-01,0.00.E+00,1.03.E+04,0.00.E+00,9 ,,,
30,2.00 wt% Ru/MgO,1.94.E+08,8.06.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.79.E-03,0.00.E+00,3.59.E+03,0.00.E+00,9 ,,,
31,10.00 wt% Ru/Ca(NH3)2,1.34.E+08,6.17.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.82.E-04,0.00.E+00,7.48.E+03,0.00.E+00,9 ,,,
32,5.00 wt% Ru-Cs/MgO,5.14.E+07,6.21.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.60.E+03,0.00.E+00,9 ,,,
33,10.00 wt% Ru/MgO,1.28.E+08,7.09.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,5.54.E+03,0.00.E+00,9 ,,,
34,10.00 wt% Ru/¥ã-Al2O3,1.35.E+08,8.10.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.02.E+03,0.00.E+00,9 ,,,
35,4.60 wt% Ru/Ca(NH2)2,6.98.E+08,7.47.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,6.18.E+03,0.00.E+00,10 ,,,
36,4.40 wt% Ru/Ba(NH2)2,1.20.E+07,6.02.E+04,4.80.E-03,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.50.E-04,0.00.E+00,1.54.E+03,0.00.E+00,10 ,,,
37,5.00 wt% Ru/Mg(NH2)2,2.00.E+08,6.69.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,5.23.E-04,0.00.E+00,6.48.E+03,0.00.E+00,10 ,,,
38,4.70 wt% Ru/MgO,9.16.E+08,7.11.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,8.42.E+03,0.00.E+00,10 ,,,
39,1.00 wt% Ru-K/CaO,2.35.E+08,7.22.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.31.E-02,0.00.E+00,9.31.E+03,0.00.E+00,11 ,,,
40,2.00 wt% Ru-K/CaO,3.17.E+08,7.66.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.64.E+03,0.00.E+00,11 ,,,
41,3.00 wt% Ru-K/CaO,1.26.E+08,6.86.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.43.E-03,0.00.E+00,3.47.E+03,0.00.E+00,11 ,,,
42,5.00 wt% Ru-K/CaO,1.95.E+07,5.67.E+04,1.01.E-04,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,6.39.E-02,0.00.E+00,4.55.E+03,0.00.E+00,11 ,,,
