r2,mse,rmse,mae
0.9973576928552168,0.0002236115145162807,0.014953645525967263,0.011850533154285723
0.9914232427225029,0.0015308705355576862,0.03912634068703188,0.03334923526857143
0.9784837027609463,0.0053321404401887595,0.07302150669623819,0.058749685940199976
0.9883676692267197,0.002835657268578487,0.053250889838372534,0.035686099772228565
0.9987126420313567,2.6249286268040762e-05,0.005123405729399221,0.004594469494142857
0.9988965895599176,2.37986415634373e-05,0.004878385138899685,0.004035956122242849
0.9989532860903344,2.10830442030578e-05,0.004591627620251647,0.003929371293857141
0.995711738193037,0.002040769581482883,0.04517487776942936,0.04117949839844292
0.9888959222710998,0.0010520805587011875,0.03243579132225985,0.028255276618142814
0.9782819526817333,0.0024977072449522296,0.04997706719038473,0.04021069228149999
0.9995867350526076,3.183765832990596e-05,0.0056424868923114,0.004456856552857125
0.9721906899680948,0.0012960819643425593,0.036001138375648056,0.029683462654285706
0.9965705790739089,0.00038690587583210725,0.019669923127254647,0.01698885014857147
0.9734635523477922,0.001646883187762485,0.040581808581709185,0.03218543200571429
0.9728318212419805,0.00010753977284400398,0.01037013851614355,0.008285893784285722
0.9827746198387826,0.00017886430077299845,0.013374015880542331,0.0077236933178571445
0.9955377402820937,5.469855525424862e-05,0.007395847162715615,0.005774905871285713
0.9969009946527589,0.0014009478446068055,0.037429237830963184,0.03027766217571435
0.9933715632404055,0.00320292499215854,0.05659439011208214,0.049169712255714315
0.9917430829407474,0.0024335282762882144,0.04933080453720793,0.04304231148571432
0.987076302896427,0.0024885371346693966,0.04988523964730847,0.04339787625714288
0.983277010740814,0.005658497193675807,0.07522298314794361,0.06492507843545715
0.9915143370302234,0.003075689691641842,0.05545890092349326,0.04914559927785719
0.9988974472800077,0.00028530258956793654,0.01689090256818553,0.014687134272857187
0.9993458806630254,7.115921911777786e-05,0.008435592398745797,0.0072615395285714245
0.982182560979732,0.0032688485224275504,0.05717384474064649,0.04144532435857144
0.9963520920547138,0.0007806444620347589,0.027940015426530438,0.022880668432857132
0.9974281128470356,1.7130017292813066e-06,0.0013088169196955343,0.0010769319828571326
0.9961562911537121,1.923314588046079e-05,0.004385561067920591,0.0036915098351285682
0.9991236755431708,5.685727498148203e-07,0.0007540376315641152,0.0006577671157142863
0.9952553003045963,2.3773071835212032e-05,0.0048757637181483715,0.0033976681997428594
0.9928235189532257,3.349843375225593e-05,0.005787783146616322,0.005160067702771438
0.999476926388715,8.30182686665318e-07,0.0009111436147311345,0.0007824670900000075
0.9995546201330484,2.862716914559402e-07,0.000535043635095251,0.00045180433571428665
0.9990230337890023,0.0014389598205451124,0.037933623878363014,0.0334987726628571
0.9474978119600947,0.04075884054457588,0.20188818822451174,0.154694528342857
0.9925146136151258,0.013871364850340464,0.1177767585321504,0.1067255307425715
0.9981381362155392,0.0035414517822252574,0.05951009815338282,0.052220193171428626
0.9990289158130014,4.104624957677947e-05,0.006406734704729038,0.005207799167571429
0.9872712609154141,0.0005865736729629049,0.024219283081109252,0.019075277107142876
0.9895162287207524,0.0004545939725631583,0.021321209453573648,0.016074532887985722
0.9952864797397093,0.00020151608175224782,0.014195636010839664,0.011638879572200018
0.9996008502848739,1.8432692522187977e-05,0.004293331168473727,0.0033516381742857287
0.994214861433938,0.00030219524231937426,0.017383763755854893,0.014846554009842852
0.9910448060864411,0.0003490074442323134,0.018681740931516887,0.015201487805942873
0.9934928414915395,0.000311839149558241,0.017658967964132022,0.0154069818491857
0.9943886204607391,0.0020873335031320267,0.045687345109253465,0.0409648836081285
0.991730246853637,0.0028174582314274207,0.053079734658600365,0.048546495809542914
0.9931195502896285,0.0016685688175685413,0.040848118898776,0.0340048019485714
0.9917352775238876,0.002443309773506431,0.04942984699052214,0.03657680997914282
0.9939594257963154,0.0021403176691757436,0.04626356740649972,0.040630439587657184
0.9973365008718752,0.0009557913012857006,0.030915874583871964,0.024524805259857146
0.9938407660208267,0.001964354563486297,0.044321039738326275,0.02900778114320004
0.9709261629004842,0.007164867485326658,0.08464554025657027,0.07282656216642858
0.9842457009882394,0.007544940240652762,0.08686161546191022,0.07273408852095717
0.9916769416764314,0.003429122177522871,0.05855870710255539,0.04858873102467146
0.9922978100649282,0.0027669992867762616,0.0526022745399499,0.0409970733920001
0.9992811417945333,0.00030070089017738535,0.0173407292285355,0.014970385965999986
0.9893950019432708,0.002964694088977592,0.054449004481051735,0.036532013892871425
0.9810196457492766,0.0051383943301110705,0.0716825943316163,0.05225355913389999
0.9957619232516475,0.001250304307685635,0.035359642357999536,0.028697036331542827
0.9809259189007501,0.005129307050917367,0.07161918074732053,0.053231081143528626
0.9752286190292309,0.006551403452840573,0.08094074037739322,0.06828102195332862
0.9919151635357101,0.0024924458074209884,0.049924400922003946,0.041377587649042806
0.9848858323555045,0.0039179602283796276,0.06259361172180135,0.053204314439514296
0.985746859641155,0.00018405064938451196,0.013566526798871993,0.011076216002857117
0.9992018539123052,1.804496129396569e-05,0.004247936121690825,0.003361074355714297
0.9813815750485497,0.0005113237047626647,0.022612467905177108,0.017636987939999977
0.9914982909505358,0.00012144511762171905,0.011020214046093617,0.008066084635285704
0.9862159145637254,0.00028205075647342925,0.01679436680775519,0.014590292412057134
0.9850656502540746,0.00032274822363079474,0.01796519478410392,0.0166875283968857
0.9833005065942206,0.00035589645315450635,0.018865218078636312,0.016515526988642858
0.9948361397718173,0.0023393391196323697,0.048366714997324034,0.02947522770272302
