A_f,Ea_f(J/mol),A_1,Ea_1(J/mol),A_2,Ea_2(J/mol),A_3,Ea_3(J/mol),A_4,Ea_4(J/mol),A_5,Ea_5(J/mol)
10000000000.0,66996.0901,4.5399929762484854e-05,3.48689812649,5.1496107792258866e-05,146206.7266212,4.5399929762484854e-05,14.01020690276,4.5399929762484854e-05,0.208732772206,74953.03527182926,-0.0
10000000000.0,68087.3339,0.0002803068365424975,3.580209257926,5.1496110367064354e-05,146206.7266212,0.4473192672108841,13.131583050200001,4.5399929762484854e-05,0.2063789075376,41395.06293812743,-0.0
10000000000.0,58319.9378,4.5399929762484854e-05,3.580508753148,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.92254508078,4.5399929762484854e-05,0.20869259812660002,96589.6527428311,37.51728882064
10000000000.0,57863.7277,0.00012323644879638649,3.577645087302,5.1496124785977276e-05,146206.7266212,4.5399929762484854e-05,9.924448986780002,4.5399929762484854e-05,0.2071970874462,72027.12045061766,71.5570033748
10000000000.0,100094.685,4.5399929762484854e-05,1286.541374894,5.177588021782508e-05,146206.7266212,4.5399929762484854e-05,1463.424601538,4.5399929762484854e-05,68.4522681104,5333.859745690373,1196.170414732
10000000000.0,86852.8936,4.5399929762484854e-05,300497.7640272,5.3987829847219184e-05,146206.728284,4.5399929762484854e-05,103268.6936714,4.5399929762484854e-05,56065.60208394,9068.265409486596,970.018482286
10000000000.0,104500.319,4.5399929762484854e-05,1137.1855029459998,5.117661083098738e-05,146206.7266212,4.5399929762484854e-05,9903.41257142,4.5399929762484854e-05,66.73947918772,6090.328438269134,2712.307763316
10000000000.0,56266.3129,0.000218093695857546,1.67222554023,5.1486569536711915e-05,146206.7266212,4.5399929762484854e-05,10.81917414744,4.5399929762484854e-05,0.4346949550614,85630.74772269152,-0.0
32465234800.0,52396.7924,1.1301625975386886,8339.90825308,4.5399929762484854e-05,146206.5919344,0.16620987532577922,-0.0,1055.6821028741986,-0.0,68928.09922082035,5421.585356308
10000000000.0,40894.4515,4.5399929762484854e-05,3.186947446942,5.149612221117107e-05,146206.7266212,4.5399929762484854e-05,9.84167413766,4.5399929762484854e-05,0.2058674194494,608314.1976998434,2396.816563282
10000000000.0,57347.7247,0.5655167161024394,2082.074163658,4.5399929762484854e-05,146206.7257898,0.6014004476989905,-0.0,1.1739212455490953,2508.160195366,126237.67265075223,1634.3690132719998
9930028060.0,59974.3403,0.1629719058139787,330.052992283,1122012.0446619682,138944.6937156,0.0001238878768950217,176822.35070460002,55.82147544770094,774.5087587698,143846.1349491962,617.2972600896
10000000000.0,59134.7912,0.40561804948200975,-0.0,5.1486364620572994e-05,146206.7266212,4.5399929762484854e-05,25.22033309896,4.5399929762484854e-05,198.27212733640002,99873.26388111553,1003.4755896319999
10000000000.0,65005.5285,4.5399929762484854e-05,60.67970555452,5.161054272347932e-05,146206.7266212,4.5399929762484854e-05,182.9517449424,4.5399929762484854e-05,8.48379091906,266733.230177661,7015.023824262001
10000000000.0,72254.4915,4.5399929762484854e-05,23.9170779319,5.148220314590898e-05,146206.7266212,4.5399929762484854e-05,18.200494745380002,4.5399929762484854e-05,0.3592161539152,81468.11535146624,-0.0
10000000000.0,53672.6926,4.5399929762484854e-05,3.499722654398,5.1496108822181026e-05,146206.7266212,4.5399929762484854e-05,9.887454846099999,4.5399929762484854e-05,0.211899188205,301129.32421098964,1028.940066334
10000000000.0,60342.5094,0.061466512786765175,-0.0,5.149610058280432e-05,146206.7266212,0.8106920332809018,0.6465355129384,0.03633937408574322,0.21786714368500001,109770.87303925866,31.836990507459998
10000000000.0,70489.8391,0.02252469243421108,-0.0,5.14914275237197e-05,146206.7266212,4.5399929762484854e-05,1.6729763110579998,4.5399929762484854e-05,145.984715385,27421.75622179057,483.96592144
10000000000.0,70596.35,4.5399929762484854e-05,4.128601753804,5.149593991522112e-05,146206.7266212,4.5399929762484854e-05,9.92615136142,4.5399929762484854e-05,0.1968791432412,36455.71444332218,691.8746107974
10000000000.0,72207.9257,0.16578227133729306,17063.578275159998,5.149478950877345e-05,146206.7266212,4.5399929762484854e-05,803375.5279648,4.5399929762484854e-05,104470.78084400001,38312.93321420166,-0.0
10000000000.0,81597.666,4.5399929762484854e-05,3.5509799110339997,5.149612066628739e-05,146206.7266212,4.5399929762484854e-05,9.91613531934,4.5399929762484854e-05,0.209929676431,23359.72349066759,518.8011831994
10000000000.0,61045.6218,4.5399929762484854e-05,3.590163485416,5.149610109776529e-05,146206.7266212,4.5399929762484854e-05,9.9260035385,4.5399929762484854e-05,0.20870269880519998,106007.06268729422,143.6747045724
10000000000.0,80832.7577,4.5399929762484854e-05,3.458734360036,5.1496649019195865e-05,146206.7266212,4.5399929762484854e-05,9.9305022439,4.5399929762484854e-05,0.17781249738920002,46132.74128510988,4234.103212914
10000000000.0,78496.2672,4.5399929762484854e-05,3.593102234996,5.149610418753142e-05,146206.7266212,4.5399929762484854e-05,9.924796345699999,4.5399929762484854e-05,0.2087623475982,35653.82096346759,264.5178174454
10000000000.0,78271.4743,0.0004603843333686185,3.736684241794,5.1496384842064015e-05,146206.7266212,4.5399929762484854e-05,10.2938560528,4.5399929762484854e-05,0.2129014733296,22771.055207703692,-0.0
10000000000.0,68867.6504,4.5399929762484854e-05,3.4015264410399997,5.1496570744348866e-05,146206.7266212,4.5399929762484854e-05,9.95763672884,4.5399929762484854e-05,0.052440554251740004,41488.37721980271,270.5356619138
10000000000.0,61834.2796,0.00011635729051183128,3.0348831315280003,5.150022919068101e-05,146206.7266212,4.5399929762484854e-05,9.99874039658,4.543801129609419e-05,0.03052307828892,77995.53808522972,845.30903101
10000000000.0,85385.3474,4.5399929762484854e-05,25.27240767168,5.1493548499300554e-05,146206.7266212,4.5399929762484854e-05,17231.867935240003,4.5399929762484854e-05,153.8477856414,18036.56328135471,1.01573231291e-16
10000000000.0,84553.0104,4.5399929762484854e-05,16715.54583802,4.5399929762484854e-05,146206.73493520002,4.5399929762484854e-05,25218.41281438,4.5399929762484854e-05,-0.0,9969.332202295627,861.375029552
10000000000.0,78713.9344,4.5399929762484854e-05,3.613937684348,5.149611345683105e-05,146206.7266212,4.5399929762484854e-05,10.40015420096,4.5399929762484854e-05,0.22917668370480002,31083.807393901985,-0.0
10000000000.0,59563.5915,4.5399929762484854e-05,3.5805171336600004,5.149611139698656e-05,146206.7266212,4.5399929762484854e-05,9.92293043468,4.53999311244828e-05,0.2088094879782,82537.42451925739,41.09869530288
10000000000.0,57365.6445,0.0021203349870955518,3.57962820078,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,17.82439017038,0.00019688677906553172,1.83054679745e-05,117488.75431163918,188.02986879899998
10000000000.0,72468.8424,4.5399929762484854e-05,3.5993020263660003,5.1496107792258866e-05,146206.7266212,4.5399929762484854e-05,9.959415010299999,4.5399929762484854e-05,0.2083200511122,43431.336555847105,-0.0
10000000000.0,82633.1579,4.5399929762484854e-05,3.613823458302,5.1496112426908796e-05,146206.7266212,4.5399929762484854e-05,10.80694342204,4.5399929762484854e-05,0.102718996102,22708.663894193327,-0.0
10000000000.0,59409.6393,0.0006438503143562861,2.8322753413200004,5.1493445512306527e-05,146206.7266212,4.5399929762484854e-05,9.78475549598,4.5399929762484854e-05,0.419803437055,92915.8292043143,617.7721532754
10000001300.0,58574.4818,0.557124641610192,66.55243455702,4.540009411052803e-05,129737.68780700001,0.43031725844739316,24760.471043179998,71.84162044175034,6020.343024936,150133.2481868128,5288.304279114
