r2,mse,rmse,mae
0.9931147935377921,0.00014752094245904968,0.012145819958283989,0.010739839964144288
0.9942019074834391,0.00011600106557743952,0.01077037908234615,0.008471965099987152
0.9704725095961411,0.0005286543822614049,0.022992485343289987,0.018076762802632873
0.9809727932594796,0.00032041143209025165,0.017900040002476296,0.013871660989288588
0.9794344633384985,0.0002815824109571193,0.01678041748458957,0.01291315962847572
0.9702482946164657,0.0003722465868557184,0.019293692929445064,0.013111240734914296
0.9985723879154303,2.798936922216692e-06,0.0016730023676661944,0.0015542425671428558
0.9986089056751071,0.00011790993853241426,0.010858634284863555,0.008469015014285734
0.983836733699281,0.004899462560646198,0.0699961610422043,0.05981666377285714
0.9988584421035505,0.00044970428579172887,0.02120623223940851,0.017331310887142848
0.9848994812536579,0.007819655870684871,0.08842881810068973,0.0833303642487142
0.9899230795316281,0.0033312609957170812,0.057717077158472616,0.04892460158675717
0.9940906920067739,0.0017899071011230978,0.042307293710696005,0.03667946108857139
0.9960765839093945,0.0010546205632868068,0.03247492206744778,0.027816437572857185
0.9843643624463839,0.005969057805838454,0.07725967774873549,0.0704740776333858
0.9874595787000131,0.003382140199057393,0.05815617077367967,0.05098815782571435
0.9790941165799851,0.0071946871931969575,0.08482150195084356,0.07559839608414279
0.972859426626398,0.00924068286593441,0.09612847063141289,0.08544853817722861
0.9823429566435582,0.005513022429649311,0.07424973016549832,0.06726305080465712
0.9964170410602147,1.643533101639775e-05,0.004054051185715069,0.003638457330000004
0.9985081632451536,1.281582475290097e-06,0.0011320699957556057,0.0008616081499999885
0.9613298966891384,1.9777410394873794e-06,0.0014063218122063596,0.0010054127599999922
0.9699370417062773,0.00054635294945516,0.023374194092099943,0.018090969813714306
0.9844709046145806,0.00029884501866086837,0.017287134483796568,0.013306872101899991
0.9736288318801619,0.0004464447251964809,0.02112923863267394,0.015541087165857143
0.9759463064447345,0.0004810966597234017,0.021933915740774645,0.020065560099285704
0.9934757526121845,0.0020893754451595773,0.045709686557223045,0.03013034284244835
